name,ticker,year,quarter,period,period_end,revenue,operating_income,net_income,equity,operating_margin,fs_div
파마리서치,214450,2022,4,2022Q4,2022-12-31,148583976371.0,49397509514.0,26824200534.0,371656045678.0,33.245515916641736,CFS
파마리서치,214450,2023,1,2023Q1,2023-03-31,55442360591.0,20739374899.0,18327114731.0,385606183390.0,37.407092118596836,CFS
파마리서치,214450,2023,2,2023Q2,2023-06-30,11355774107.0,2908035672.0,-3143637454.0,415466176368.0,25.60843183915934,CFS
파마리서치,214450,2023,3,2023Q3,2023-09-30,2007366878.0,3847444249.0,13012371174.0,444920138180.0,191.66622161432315,CFS
파마리서치,214450,2023,4,2023Q4,2023-12-31,192205408988.0,64762931808.0,49068804004.0,462194597084.0,33.69464582135842,CFS
파마리서치,214450,2024,1,2024Q1,2024-03-31,74716536142.0,26668362059.0,18305286876.0,470867168621.0,35.69271735016776,CFS
파마리서치,214450,2024,2,2024Q2,2024-06-30,8390045478.0,4092336784.0,10412906012.0,508300707292.0,48.77609775454425,CFS
파마리서치,214450,2024,3,2024Q3,2024-09-30,6102209723.0,4162563831.0,-3205712707.0,542211127535.0,68.21404081394927,CFS
파마리서치,214450,2024,4,2024Q4,2024-12-31,260906277298.0,91127494447.0,63430555439.0,569440798163.0,34.92729089952737,CFS
파마리서치,214450,2025,1,2025Q1,2025-03-31,116909970307.0,86521878.0,36026848814.0,594050222681.0,0.07400727052859364,CFS
파마리서치,214450,2025,2,2025Q2,2025-06-30,23697477159.0,2475913.0,6017986372.0,637474666633.0,0.01044800247464182,CFS
파마리서치,214450,2025,3,2025Q3,2025-09-30,-5181036467.0,169022825.0,8808074497.0,688775854917.0,-3.262336138272157,CFS
파마리서치,214450,2025,4,2025Q4,2025-12-31,400862707813.0,3814802034.0,114268046776.0,723877585619.0,0.9516480230382472,CFS
파마리서치,214450,2026,1,2026Q1,2026-03-31,146100260508.0,462408612.0,48748490607.0,732476193901.0,0.31650088123879827,CFS
삼성전기,009150,2017,1,2017Q1,2017-03-31,1570464666142.0,25537393155.0,4375008368.0,4260882020148.0,1.6261042801895762,CFS
삼성전기,009150,2017,2,2017Q2,2017-06-30,139416671897.0,45135220752.0,,4407752977647.0,32.374335248330674,CFS
삼성전기,009150,2017,3,2017Q3,2017-09-30,131257782875.0,32490072204.0,67484358385.0,4458394947580.0,24.752872928640805,CFS
삼성전기,009150,2017,4,2017Q4,2017-12-31,4997335012485.0,203040742451.0,89879740427.0,4331491386330.0,4.062980407431899,CFS
삼성전기,009150,2018,1,2018Q1,2018-03-31,2018773532057.0,154006514214.0,111202617571.0,4491693259432.0,7.62871673164237,CFS
삼성전기,009150,2018,2,2018Q2,2018-06-30,-209001824945.0,52803338479.0,10772295093.0,4543016653582.0,-25.26453464839146,CFS
삼성전기,009150,2018,3,2018Q3,2018-09-30,556525667437.0,198143821912.0,124193512560.0,4781131282094.0,35.603716684717035,CFS
삼성전기,009150,2018,4,2018Q4,2018-12-31,5826725878445.0,613099124981.0,438850088978.0,4946497556259.0,10.522189266686768,CFS
삼성전기,009150,2019,1,2019Q1,2019-03-31,2130551645830.0,190285844605.0,133039892971.0,5057347616230.0,8.931294623973795,CFS
삼성전기,009150,2019,2,2019Q2,2019-06-30,-172803951656.0,-45121857480.0,-80634634556.0,5384929790424.0,26.111588911938693,CFS
삼성전기,009150,2019,3,2019Q3,2019-09-30,314363459402.0,35003071418.0,56998466118.0,5513020930666.0,11.134586533875416,CFS
삼성전기,009150,2019,4,2019Q4,2019-12-31,5768706492211.0,553801783917.0,418644826503.0,5430096885508.0,9.600103327578758,CFS
삼성전기,009150,2020,1,2020Q1,2020-03-31,2224466256261.0,164558544871.0,133184216331.0,5511966956299.0,7.397664244527524,CFS
삼성전기,009150,2020,2,2020Q2,2020-06-30,-412255778212.0,-68561731655.0,-87491309341.0,5559802544135.0,16.630872210538804,CFS
삼성전기,009150,2020,3,2020Q3,2020-09-30,475686468688.0,206478797332.0,194303558850.0,5787655644230.0,43.40648955213991,CFS
삼성전기,009150,2020,4,2020Q4,2020-12-31,5920841361274.0,526655067729.0,383814712001.0,5910395939497.0,8.89493630370935,CFS
삼성전기,009150,2021,1,2021Q1,2021-03-31,2371948705221.0,331479373704.0,242726322558.0,6154161177818.0,13.974980697279257,CFS
삼성전기,009150,2021,2,2021Q2,2021-06-30,103556602701.0,7855771606.0,-8155071416.0,6407706054744.0,7.585968833568292,CFS
삼성전기,009150,2021,3,2021Q3,2021-09-30,213193784730.0,118492220168.0,118896126745.0,6862959295908.0,55.57958470415302,CFS
삼성전기,009150,2021,4,2021Q4,2021-12-31,6986337035074.0,1029045468326.0,561965074808.0,6871125642811.0,14.72939915666551,CFS
삼성전기,009150,2022,1,2022Q1,2022-03-31,2616765576038.0,410547735565.0,321851873315.0,7089186796960.0,15.689129332960858,CFS
